date,action,drift_index,feature_score,prediction_score,performance_score,top_drift_feature,cooldown_blocked,retrained_today,ensemble_size
2017-06-14,high,3.6212184506905283,8.949176078162127,0.0008526184589269818,0.13764077962666288,Ret_Vol_20,1,0,1
2017-06-15,high,3.687426344500186,8.949176078162127,0.0006829962043409267,0.3585033812467746,Ret_Vol_20,1,0,1
2017-06-16,high,3.725983583912517,8.949176078162127,0.0010679917946892486,0.48664251703086236,Ret_Vol_20,1,0,1
2017-06-19,high,3.6627101435974687,8.949176078162127,0.001103080814095862,0.27569596029463017,Ret_Vol_20,0,1,1
2017-06-20,high,3.57725142713556,8.942921927638507,0.00027552026719142786,0.0,Ret_Vol_20,1,0,1
2017-06-21,high,3.5869435162677235,8.942690195442804,0.000622199733219698,0.03226926056878554,Ret_Vol_20,1,0,1
2017-06-22,high,3.6495434289881783,8.942690195442804,0.001042284342974639,0.24051555169388117,Ret_Vol_20,1,0,1
2017-06-23,high,3.628424181356861,8.943123171487724,0.001042284342974639,0.16954075819626357,Ret_Vol_20,1,0,1
2017-06-26,high,3.6174725065542197,8.943123171487724,0.001042284342974639,0.13303517552079336,Ret_Vol_20,0,1,1
2017-06-27,high,3.5751227871745104,8.937600327735883,0.00027552026719143956,0.0,Ret_Vol_20,1,0,1
2017-06-28,high,3.593902761687326,8.938851965994266,0.0013526022657491667,0.05985398203298392,Ret_Vol_20,1,0,1
2017-06-29,high,3.6046024420779905,8.940783263430525,0.001413398736870384,0.09288372361573233,Ret_Vol_20,1,0,1
2017-06-30,high,3.614115199766508,8.943398356368343,0.0019523402374742064,0.12056718382642917,Ret_Vol_20,1,0,1
2017-07-03,high,3.6538305730118052,8.946702842441873,0.002704164567043947,0.24779395554980943,Ret_Vol_20,0,1,1
2017-07-05,moderate,3.1914796566597796,7.97834600416933,0.0004708499734921499,0.0,Ret_Vol_20,1,0,1
2017-07-06,high,3.308952139697271,7.982060200994882,0.0015986973357870987,0.3854948336619398,Ret_Vol_20,1,0,1
2017-07-07,high,3.2566411920459255,7.9796300179822595,0.001993074493827421,0.21397087501624557,Ret_Vol_20,1,0,1
2017-07-10,high,3.2993732212706344,7.978175708227928,0.0018338149669569308,0.3585093116312529,Ret_Vol_20,0,1,1
2017-07-11,moderate,3.15562589455934,7.888795316465753,0.0003592265767958904,0.0,Ret_Vol_20,1,0,1
2017-07-12,high,3.2926451792041096,7.888288357414423,0.01838971451692208,0.43937640627754493,Ret_Vol_20,1,0,1
2017-07-13,high,3.3384894914133723,7.888795316465753,0.01931816695011013,0.5905863824734596,Ret_Vol_20,1,0,1
2017-07-14,high,3.2921520447659693,7.890318340395831,0.015708269785339155,0.43770742557344894,Ret_Vol_20,1,0,1
2017-07-17,high,3.323612253534348,7.892863917682973,0.01505127239653635,0.5398376824739919,Ret_Vol_20,0,1,1
2017-07-18,moderate,3.1586849966410524,7.896443025498655,0.0003592881386337136,0.0,Ret_Vol_20,1,0,1
2017-07-19,moderate,3.210057181079388,7.905351468209082,0.0008647995438555859,0.1588571797753281,Ret_Vol_20,1,0,1
2017-07-20,high,3.2531787780047248,7.9151920398787645,0.002319734551556096,0.2880201389591738,Ret_Vol_20,1,0,1
2017-07-21,high,3.3280457239809675,7.925999524200824,0.003852855059602618,0.5216335259425241,Ret_Vol_20,1,0,1
2017-07-24,high,3.3377003018822333,7.937814305821329,0.005240955383963507,0.5366743097950415,Ret_Vol_20,0,1,1
2017-07-25,moderate,3.178260991239559,7.945356695230368,0.0003943771580403061,0.0,Ret_Vol_20,1,0,1
2017-07-26,high,3.252413472097462,7.945356695230368,0.0011253518113882826,0.24644396153966164,Ret_Vol_20,1,0,1
2017-07-27,high,3.2739360881923076,7.9327395066211945,0.002033664433173445,0.33410062071292657,Ret_Vol_20,1,0,1
2017-07-28,high,3.2904910748082568,7.921182894682195,0.003085798224310668,0.4036405915602851,Ret_Vol_20,1,0,1
2017-07-31,high,3.3063204107817996,7.910640201756907,0.02931739434203445,0.4442303725880876,Ret_Vol_20,0,1,1
2017-08-01,moderate,3.168238191368558,7.910640201756907,0.01327370221931581,0.0,Ret_Vol_20,1,0,1
2017-08-02,high,3.3481744408517664,7.901071383403904,0.008842806698413107,0.6169768182689359,Ret_Vol_20,1,0,1
2017-08-03,high,3.292999212951587,7.89244202253599,0.007073510009435872,0.4463345031145324,Ret_Vol_20,1,0,1
2017-08-04,high,3.311046373961321,7.884722548613086,0.006942729168935069,0.5169151192180211,Ret_Vol_20,1,0,1
2017-08-07,high,3.357174586202329,7.877887614836444,0.0067176935084858605,0.6800141073840168,Ret_Vol_20,0,1,1
2017-08-08,moderate,3.1274517160149564,7.818333507168861,0.0003943771580402957,0.0,Ret_Vol_20,1,0,1
2017-08-09,moderate,3.1355580170006303,7.811802148139741,0.0003943771580402957,0.03572948199107251,Ret_Vol_20,1,0,1
2017-08-10,moderate,3.223327614490251,7.806142827057283,0.001793817308720851,0.33444112824907185,Ret_Vol_20,1,0,1
2017-08-11,moderate,3.184796190469169,7.80133779352605,0.002092247414395498,0.21211132944809935,Ret_Vol_20,1,0,1
2017-08-14,moderate,3.181274038012964,7.803818399148023,0.0018206546260099267,0.19733493988650563,Ret_Vol_20,0,1,1
2017-08-15,moderate,3.0837287294676954,7.7090330769764766,0.0003849955903483254,0.0,Ret_Vol_20,1,0,1
2017-08-16,moderate,3.1199039720250044,7.711263671906705,0.0011875852836552847,0.11680742559075252,Ret_Vol_20,1,0,1
2017-08-17,high,3.2517166012310783,7.679469845784032,0.0051567090247221226,0.5946055007001628,Ret_Vol_20,1,0,1
2017-08-18,moderate,3.206755897085432,7.6526375106751825,0.00648395131612394,0.4791856914017382,Ret_Vol_20,1,0,1
2017-08-21,high,3.269145374029735,7.6526375106751825,0.006929093837901454,0.686705472027638,Ret_Vol_20,0,1,1
2017-08-22,moderate,3.049448250614657,7.623385175966442,0.00031393409359983544,0.0,Ret_Vol_20,1,0,1
